what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396237341952
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396237343200
closed,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1396237343804
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.105.v200811282340,org.eclipse.wst.xsd.ui,1396237344972
stopped,bundle,org.eclipse.emf.edit.ui,2.4.2.v200902171115,org.eclipse.emf.edit.ui,1396237344973
stopped,bundle,org.eclipse.wst.common.snippets,1.1.200.v200805140415,org.eclipse.wst.common.snippets,1396237344975
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1396237344976
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1396237344979
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1396237344979
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1396237344981
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1396237344982
stopped,bundle,org.eclipse.mylyn.java.tasks,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.tasks,1396237344983
stopped,bundle,org.eclipse.mylyn.java.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.java.ui,1396237344984
stopped,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1396237344986
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1396237344988
stopped,bundle,org.eclipse.ant.ui,3.3.1.v20090120_r342,org.eclipse.ant.ui,1396237344989
stopped,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1396237344992
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.100.v20080407-1345,org.eclipse.jdt.apt.ui,1396237344993
stopped,bundle,com.jformdesigner,5.1.1,com.jformdesigner,1396237344993
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1396237345298
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1396237345299
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1396237345300
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1396237345300
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200902130801,org.eclipse.cdt.mylyn.ui,1396237345302
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1396237345303
