what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ltk.core.refactoring,3.4.2.r342_v20081028-0800,org.eclipse.ltk.core.refactoring,1396237279714
started,bundle,org.eclipse.mylyn.context.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.core,1396237279715
started,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1396237279716
started,bundle,org.eclipse.team.core,3.4.2.r34x_20080115,org.eclipse.team.core,1396237279717
started,bundle,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui,1396237279719
started,bundle,org.eclipse.ui.forms,3.3.103.v20081027_34x,org.eclipse.ui.forms,1396237279719
started,bundle,org.eclipse.ui.ide,3.4.2.M20090127-1700,org.eclipse.ui.ide,1396237279721
started,bundle,org.eclipse.ui.navigator,3.3.102.M20090127-1700,org.eclipse.ui.navigator,1396237279722
started,bundle,org.eclipse.ui.views,3.3.1.M20081112-0800,org.eclipse.ui.views,1396237279723
started,bundle,org.eclipse.ui.workbench,3.4.2.M20090127-1700,org.eclipse.ui.workbench,1396237279724
started,bundle,org.eclipse.update.core,3.2.202.R34x_v20081128,org.eclipse.update.core,1396237279725
started,bundle,org.eclipse.cdt.core,5.0.2.200902130801,org.eclipse.cdt.core,1396237279726
started,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1396237280198
started,bundle,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui,1396237280209
started,bundle,org.eclipse.mylyn.bugzilla.core,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.core,1396237281045
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1396237281202
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1396237281270
closed,view,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.internal.introview,1396237281335
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1396237281577
started,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1396237283053
started,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1396237283105
started,bundle,org.eclipse.mylyn.monitor.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.monitor.ui,1396237283129
started,bundle,org.eclipse.jsch.core,1.1.100.I20080604,org.eclipse.jsch.core,1396237283723
started,bundle,org.eclipse.team.cvs.core,3.3.101.r34x_20090115,org.eclipse.team.cvs.core,1396237283726
started,bundle,org.eclipse.team.ui,3.4.1.r34x_20080827,org.eclipse.team.ui,1396237283748
